#Code  ; Glyph                               ; Prio # Source
0x0021 ; exclam                              ; 0    # Adobe Glyph List FN (v1.3) # EXCLAMATION MARK
0x0021 ; excl                                ; 5    # SGML Substitute
0x0022 ; quotedbl                            ; 0    # Adobe Glyph List FN (v1.3) # QUOTATION MARK
0x0022 ; quot                                ; 3    # XML Substitute
0x0023 ; numbersign                          ; 0    # Adobe Glyph List FN (v1.3) # NUMBER SIGN
0x0023 ; num                                 ; 5    # SGML Substitute
0x0024 ; dollar                              ; 0    # Adobe Glyph List FN (v1.3) # DOLLAR SIGN
0x0025 ; percent                             ; 0    # Adobe Glyph List FN (v1.3) # PERCENT SIGN
0x0025 ; percnt                              ; 5    # SGML Substitute
0x0026 ; ampersand                           ; 0    # Adobe Glyph List FN (v1.3) # AMPERSAND
0x0026 ; amp                                 ; 3    # XML Substitute
0x0027 ; quotesingle                         ; 0    # Adobe Glyph List FN (v1.3) # APOSTROPHE
0x0027 ; apos                                ; 3    # XML Substitute
0x0028 ; parenleft                           ; 0    # Adobe Glyph List FN (v1.3) # LEFT PARENTHESIS
0x0028 ; lpar                                ; 5    # SGML Substitute
0x0029 ; parenright                          ; 0    # Adobe Glyph List FN (v1.3) # RIGHT PARENTHESIS
0x0029 ; rpar                                ; 5    # SGML Substitute
0x002A ; asterisk                            ; 0    # Adobe Glyph List FN (v1.3) # ASTERISK
0x002A ; ast                                 ; 5    # SGML Substitute
0x002B ; plus                                ; 0    # Adobe Glyph List FN (v1.3) # PLUS SIGN
0x002C ; comma                               ; 0    # Adobe Glyph List FN (v1.3) # COMMA
0x002D ; hyphen                              ; 0    # Adobe Glyph List FN (v1.3) # HYPHEN-MINUS
0x002E ; period                              ; 0    # Adobe Glyph List FN (v1.3) # FULL STOP
0x002F ; slash                               ; 0    # Adobe Glyph List FN (v1.3) # SOLIDUS
0x002F ; sol                                 ; 5    # SGML Substitute
0x0030 ; zero                                ; 0    # Adobe Glyph List FN (v1.3) # DIGIT ZERO
0x0031 ; one                                 ; 0    # Adobe Glyph List FN (v1.3) # DIGIT ONE
0x0032 ; two                                 ; 0    # Adobe Glyph List FN (v1.3) # DIGIT TWO
0x0033 ; three                               ; 0    # Adobe Glyph List FN (v1.3) # DIGIT THREE
0x0034 ; four                                ; 0    # Adobe Glyph List FN (v1.3) # DIGIT FOUR
0x0035 ; five                                ; 0    # Adobe Glyph List FN (v1.3) # DIGIT FIVE
0x0036 ; six                                 ; 0    # Adobe Glyph List FN (v1.3) # DIGIT SIX
0x0037 ; seven                               ; 0    # Adobe Glyph List FN (v1.3) # DIGIT SEVEN
0x0038 ; eight                               ; 0    # Adobe Glyph List FN (v1.3) # DIGIT EIGHT
0x0039 ; nine                                ; 0    # Adobe Glyph List FN (v1.3) # DIGIT NINE
0x003A ; colon                               ; 0    # Adobe Glyph List FN (v1.3) # COLON
0x003B ; semicolon                           ; 0    # Adobe Glyph List FN (v1.3) # SEMICOLON
0x003B ; semi                                ; 5    # SGML Substitute
0x003C ; less                                ; 0    # Adobe Glyph List FN (v1.3) # LESS-THAN SIGN
0x003C ; lt                                  ; 3    # XML Substitute
0x003D ; equal                               ; 0    # Adobe Glyph List FN (v1.3) # EQUALS SIGN
0x003D ; equals                              ; 5    # SGML Substitute
0x003E ; greater                             ; 0    # Adobe Glyph List FN (v1.3) # GREATER-THAN SIGN
0x003E ; gt                                  ; 3    # XML Substitute
0x003F ; question                            ; 0    # Adobe Glyph List FN (v1.3) # QUESTION MARK
0x003F ; quest                               ; 5    # SGML Substitute
0x0040 ; at                                  ; 0    # Adobe Glyph List FN (v1.3) # COMMERCIAL AT
0x0040 ; commat                              ; 5    # SGML Substitute
0x0041 ; A                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER A
0x0042 ; B                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER B
0x0043 ; C                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER C
0x0044 ; D                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER D
0x0045 ; E                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER E
0x0046 ; F                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER F
0x0047 ; G                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER G
0x0048 ; H                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER H
0x0049 ; I                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER I
0x004A ; J                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER J
0x004B ; K                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER K
0x004C ; L                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER L
0x004D ; M                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER M
0x004E ; N                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER N
0x004F ; O                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER O
0x0050 ; P                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER P
0x0051 ; Q                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER Q
0x0052 ; R                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER R
0x0053 ; S                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER S
0x0054 ; T                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER T
0x0055 ; U                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER U
0x0056 ; V                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER V
0x0057 ; W                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER W
0x0058 ; X                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER X
0x0059 ; Y                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER Y
0x005A ; Z                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER Z
0x005B ; bracketleft                         ; 0    # Adobe Glyph List FN (v1.3) # LEFT SQUARE BRACKET
0x005B ; lsqb                                ; 5    # SGML Substitute
0x005C ; backslash                           ; 0    # Adobe Glyph List FN (v1.3) # REVERSE SOLIDUS
0x005C ; bsol                                ; 5    # SGML Substitute
0x005D ; bracketright                        ; 0    # Adobe Glyph List FN (v1.3) # RIGHT SQUARE BRACKET
0x005D ; rsqb                                ; 5    # SGML Substitute
0x005E ; asciicircum                         ; 0    # Adobe Glyph List FN (v1.3) # CIRCUMFLEX ACCENT
0x005F ; underscore                          ; 0    # Adobe Glyph List FN (v1.3) # LOW LINE
0x005F ; lowbar                              ; 5    # SGML Substitute
0x0060 ; grave                               ; 0    # Adobe Glyph List FN (v1.3) # GRAVE ACCENT
0x0061 ; a                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER A
0x0062 ; b                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER B
0x0063 ; c                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER C
0x0064 ; d                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER D
0x0065 ; e                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER E
0x0066 ; f                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER F
0x0067 ; g                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER G
0x0068 ; h                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER H
0x0069 ; i                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER I
0x006A ; j                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER J
0x006B ; k                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER K
0x006C ; l                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER L
0x006D ; m                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER M
0x006E ; n                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER N
0x006F ; o                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER O
0x0070 ; p                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER P
0x0071 ; q                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER Q
0x0072 ; r                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER R
0x0073 ; s                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER S
0x0074 ; t                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER T
0x0075 ; u                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER U
0x0076 ; v                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER V
0x0077 ; w                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER W
0x0078 ; x                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER X
0x0079 ; y                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER Y
0x007A ; z                                   ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER Z
0x007B ; braceleft                           ; 0    # Adobe Glyph List FN (v1.3) # LEFT CURLY BRACKET
0x007B ; lcub                                ; 5    # SGML Substitute
0x007C ; bar                                 ; 0    # Adobe Glyph List FN (v1.3) # VERTICAL LINE
0x007C ; verbar                              ; 5    # SGML Substitute
0x007C ; verticalbar                         ; 6    # Adobe Glyph List (Sept/02)
0x007D ; braceright                          ; 0    # Adobe Glyph List FN (v1.3) # RIGHT CURLY BRACKET
0x007D ; rcub                                ; 5    # SGML Substitute
0x007E ; asciitilde                          ; 0    # Adobe Glyph List FN (v1.3) # TILDE
0x007F ; controlDEL                          ; 0    # Adobe Glyph List (Sept/02) # <control>
0x007F ; bullet                              ; 1    # WGL4 Substitute
0x0080 ; Euro                                ; 1    # WGL4 Substitute            # <control>
0x0081 ; bullet                              ; 1    # WGL4 Substitute            # <control>
0x0082 ; quotesinglbase                      ; 1    # WGL4 Substitute            # <control>
0x0083 ; florin                              ; 1    # WGL4 Substitute            # <control>
0x0084 ; quotedblbase                        ; 1    # WGL4 Substitute            # <control>
0x0085 ; ellipsis                            ; 1    # WGL4 Substitute            # <control>
0x0086 ; dagger                              ; 1    # WGL4 Substitute            # <control>
0x0087 ; daggerdbl                           ; 1    # WGL4 Substitute            # <control>
0x0088 ; circumflex                          ; 1    # WGL4 Substitute            # <control>
0x0089 ; perthousand                         ; 1    # WGL4 Substitute            # <control>
0x008A ; Scaron                              ; 1    # WGL4 Substitute            # <control>
0x008B ; guilsinglleft                       ; 1    # WGL4 Substitute            # <control>
0x008C ; OE                                  ; 1    # WGL4 Substitute            # <control>
0x008D ; bullet                              ; 1    # WGL4 Substitute            # <control>
0x008E ; Zcaron                              ; 1    # WGL4 Substitute            # <control>
0x008F ; bullet                              ; 1    # WGL4 Substitute            # <control>
0x0090 ; bullet                              ; 1    # WGL4 Substitute            # <control>
0x0091 ; quoteleft                           ; 1    # WGL4 Substitute            # <control>
0x0092 ; quoteright                          ; 1    # WGL4 Substitute            # <control>
0x0093 ; quotedblleft                        ; 1    # WGL4 Substitute            # <control>
0x0094 ; quotedblright                       ; 1    # WGL4 Substitute            # <control>
0x0095 ; bullet                              ; 1    # WGL4 Substitute            # <control>
0x0096 ; endash                              ; 1    # WGL4 Substitute            # <control>
0x0097 ; emdash                              ; 1    # WGL4 Substitute            # <control>
0x0098 ; tilde                               ; 1    # WGL4 Substitute            # <control>
0x0099 ; trademark                           ; 1    # WGL4 Substitute            # <control>
0x009A ; scaron                              ; 1    # WGL4 Substitute            # <control>
0x009B ; guilsinglright                      ; 1    # WGL4 Substitute            # <control>
0x009C ; oe                                  ; 1    # WGL4 Substitute            # <control>
0x009D ; bullet                              ; 1    # WGL4 Substitute            # <control>
0x009E ; zcaron                              ; 1    # WGL4 Substitute            # <control>
0x009F ; Ydieresis                           ; 1    # WGL4 Substitute            # <control>
0x00A0 ; space                               ; 0    # Adobe Glyph List           # NO-BREAK SPACE
0x00A0 ; nbsp                                ; 4    # XHTML Substitute
0x00A0 ; nbspace                             ; 6    # Adobe Glyph List (Sept/02)
0x00A0 ; nonbreakingspace                    ; 7    # Adobe Glyph List (Sept/02)
0x00A1 ; exclamdown                          ; 0    # Adobe Glyph List FN (v1.3) # INVERTED EXCLAMATION MARK
0x00A1 ; iexcl                               ; 4    # XHTML Substitute
0x00A2 ; cent                                ; 0    # Adobe Glyph List FN (v1.3) # CENT SIGN
0x00A3 ; sterling                            ; 0    # Adobe Glyph List FN (v1.3) # POUND SIGN
0x00A3 ; pound                               ; 4    # XHTML Substitute
0x00A4 ; currency                            ; 0    # Adobe Glyph List FN (v1.3) # CURRENCY SIGN
0x00A4 ; curren                              ; 4    # XHTML Substitute
0x00A5 ; yen                                 ; 0    # Adobe Glyph List FN (v1.3) # YEN SIGN
0x00A6 ; brokenbar                           ; 0    # Adobe Glyph List FN (v1.3) # BROKEN BAR
0x00A6 ; brvbar                              ; 4    # XHTML Substitute
0x00A7 ; section                             ; 0    # Adobe Glyph List FN (v1.3) # SECTION SIGN
0x00A7 ; sect                                ; 4    # XHTML Substitute
0x00A8 ; dieresis                            ; 0    # Adobe Glyph List FN (v1.3) # DIAERESIS
0x00A8 ; uml                                 ; 4    # XHTML Substitute
0x00A8 ; die                                 ; 5    # SGML Substitute
0x00A9 ; copyright                           ; 0    # Adobe Glyph List FN (v1.3) # COPYRIGHT SIGN
0x00A9 ; copy                                ; 4    # XHTML Substitute
0x00AA ; ordfeminine                         ; 0    # Adobe Glyph List FN (v1.3) # FEMININE ORDINAL INDICATOR
0x00AA ; ordf                                ; 4    # XHTML Substitute
0x00AB ; guillemotleft                       ; 0    # Adobe Glyph List FN (v1.3) # LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x00AB ; laquo                               ; 4    # XHTML Substitute
0x00AC ; logicalnot                          ; 0    # Adobe Glyph List FN (v1.3) # NOT SIGN
0x00AC ; not                                 ; 4    # XHTML Substitute
0x00AD ; hyphen                              ; 0    # Adobe Glyph List           # SOFT HYPHEN
0x00AD ; shy                                 ; 4    # XHTML Substitute
0x00AD ; sfthyphen                           ; 6    # Adobe Glyph List (Sept/02)
0x00AD ; softhyphen                          ; 7    # Adobe Glyph List (Sept/02)
0x00AE ; registered                          ; 0    # Adobe Glyph List FN (v1.3) # REGISTERED SIGN
0x00AE ; reg                                 ; 4    # XHTML Substitute
0x00AF ; macron                              ; 0    # Adobe Glyph List FN (v1.3) # MACRON
0x00AF ; macr                                ; 4    # XHTML Substitute
0x00AF ; overscore                           ; 6    # Adobe Glyph List (Sept/02)
0x00B0 ; degree                              ; 0    # Adobe Glyph List FN (v1.3) # DEGREE SIGN
0x00B0 ; deg                                 ; 4    # XHTML Substitute
0x00B1 ; plusminus                           ; 0    # Adobe Glyph List FN (v1.3) # PLUS-MINUS SIGN
0x00B1 ; plusmn                              ; 4    # XHTML Substitute
0x00B2 ; twosuperior                         ; 0    # Adobe Glyph List (Sept/02) # SUPERSCRIPT TWO
0x00B2 ; sup2                                ; 4    # XHTML Substitute
0x00B3 ; threesuperior                       ; 0    # Adobe Glyph List (Sept/02) # SUPERSCRIPT THREE
0x00B3 ; sup3                                ; 4    # XHTML Substitute
0x00B4 ; acute                               ; 0    # Adobe Glyph List FN (v1.3) # ACUTE ACCENT
0x00B5 ; mu                                  ; 0    # Adobe Glyph List FN (v1.3) # MICRO SIGN
0x00B5 ; micro                               ; 4    # XHTML Substitute
0x00B5 ; mu1                                 ; 6    # Adobe Glyph List (Sept/02)
0x00B6 ; paragraph                           ; 0    # Adobe Glyph List FN (v1.3) # PILCROW SIGN
0x00B6 ; para                                ; 4    # XHTML Substitute
0x00B7 ; periodcentered                      ; 0    # Adobe Glyph List FN (v1.3) # MIDDLE DOT
0x00B7 ; middot                              ; 4    # XHTML Substitute
0x00B7 ; middot                              ; 6    # Adobe Glyph List (Sept/02)
0x00B8 ; cedilla                             ; 0    # Adobe Glyph List FN (v1.3) # CEDILLA
0x00B8 ; cedil                               ; 4    # XHTML Substitute
0x00B9 ; onesuperior                         ; 0    # Adobe Glyph List (Sept/02) # SUPERSCRIPT ONE
0x00B9 ; sup1                                ; 4    # XHTML Substitute
0x00BA ; ordmasculine                        ; 0    # Adobe Glyph List FN (v1.3) # MASCULINE ORDINAL INDICATOR
0x00BA ; ordm                                ; 4    # XHTML Substitute
0x00BB ; guillemotright                      ; 0    # Adobe Glyph List FN (v1.3) # RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x00BB ; raquo                               ; 4    # XHTML Substitute
0x00BC ; onequarter                          ; 0    # Adobe Glyph List FN (v1.3) # VULGAR FRACTION ONE QUARTER
0x00BC ; frac14                              ; 4    # XHTML Substitute
0x00BD ; onehalf                             ; 0    # Adobe Glyph List FN (v1.3) # VULGAR FRACTION ONE HALF
0x00BD ; frac12                              ; 4    # XHTML Substitute
0x00BE ; threequarters                       ; 0    # Adobe Glyph List FN (v1.3) # VULGAR FRACTION THREE QUARTERS
0x00BE ; frac34                              ; 4    # XHTML Substitute
0x00BF ; questiondown                        ; 0    # Adobe Glyph List FN (v1.3) # INVERTED QUESTION MARK
0x00BF ; iquest                              ; 4    # XHTML Substitute
0x00C0 ; Agrave                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER A WITH GRAVE
0x00C1 ; Aacute                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER A WITH ACUTE
0x00C2 ; Acircumflex                         ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0x00C2 ; Acirc                               ; 4    # XHTML Substitute
0x00C3 ; Atilde                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER A WITH TILDE
0x00C4 ; Adieresis                           ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER A WITH DIAERESIS
0x00C4 ; Auml                                ; 4    # XHTML Substitute
0x00C5 ; Aring                               ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER A WITH RING ABOVE
0x00C6 ; AE                                  ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER AE
0x00C6 ; AElig                               ; 4    # XHTML Substitute
0x00C7 ; Ccedilla                            ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER C WITH CEDILLA
0x00C7 ; Ccedil                              ; 4    # XHTML Substitute
0x00C8 ; Egrave                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER E WITH GRAVE
0x00C9 ; Eacute                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER E WITH ACUTE
0x00CA ; Ecircumflex                         ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0x00CA ; Ecirc                               ; 4    # XHTML Substitute
0x00CB ; Edieresis                           ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER E WITH DIAERESIS
0x00CB ; Euml                                ; 4    # XHTML Substitute
0x00CC ; Igrave                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER I WITH GRAVE
0x00CD ; Iacute                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER I WITH ACUTE
0x00CE ; Icircumflex                         ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0x00CE ; Icirc                               ; 4    # XHTML Substitute
0x00CF ; Idieresis                           ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER I WITH DIAERESIS
0x00CF ; Iuml                                ; 4    # XHTML Substitute
0x00D0 ; Eth                                 ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER ETH
0x00D0 ; ETH                                 ; 4    # XHTML Substitute
0x00D1 ; Ntilde                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER N WITH TILDE
0x00D2 ; Ograve                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER O WITH GRAVE
0x00D3 ; Oacute                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER O WITH ACUTE
0x00D4 ; Ocircumflex                         ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0x00D4 ; Ocirc                               ; 4    # XHTML Substitute
0x00D5 ; Otilde                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER O WITH TILDE
0x00D6 ; Odieresis                           ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER O WITH DIAERESIS
0x00D6 ; Ouml                                ; 4    # XHTML Substitute
0x00D7 ; multiply                            ; 0    # Adobe Glyph List FN (v1.3) # MULTIPLICATION SIGN
0x00D7 ; times                               ; 4    # XHTML Substitute
0x00D8 ; Oslash                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER O WITH STROKE
0x00D9 ; Ugrave                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER U WITH GRAVE
0x00DA ; Uacute                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER U WITH ACUTE
0x00DB ; Ucircumflex                         ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0x00DB ; Ucirc                               ; 4    # XHTML Substitute
0x00DC ; Udieresis                           ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER U WITH DIAERESIS
0x00DC ; Uuml                                ; 4    # XHTML Substitute
0x00DD ; Yacute                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER Y WITH ACUTE
0x00DE ; Thorn                               ; 0    # Adobe Glyph List FN (v1.3) # LATIN CAPITAL LETTER THORN
0x00DE ; THORN                               ; 4    # XHTML Substitute
0x00DF ; germandbls                          ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER SHARP S
0x00DF ; szlig                               ; 4    # XHTML Substitute
0x00E0 ; agrave                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER A WITH GRAVE
0x00E1 ; aacute                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER A WITH ACUTE
0x00E2 ; acircumflex                         ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER A WITH CIRCUMFLEX
0x00E2 ; acirc                               ; 4    # XHTML Substitute
0x00E3 ; atilde                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER A WITH TILDE
0x00E4 ; adieresis                           ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER A WITH DIAERESIS
0x00E4 ; auml                                ; 4    # XHTML Substitute
0x00E5 ; aring                               ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER A WITH RING ABOVE
0x00E6 ; ae                                  ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER AE
0x00E6 ; aelig                               ; 4    # XHTML Substitute
0x00E7 ; ccedilla                            ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER C WITH CEDILLA
0x00E7 ; ccedil                              ; 4    # XHTML Substitute
0x00E8 ; egrave                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER E WITH GRAVE
0x00E9 ; eacute                              ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER E WITH ACUTE
0x00EA ; ecircumflex                         ; 0    # Adobe Glyph List FN (v1.3) # LATIN SMALL LETTER E WITH CIRCUMFLEX
